CabinetOptionId;Nom;IsActive;Domaine;Description;;;UserId;GivenName;DisplayName;Société;Manager;email;Service;Fonction
1;AccesAnalytics;1;NULL;NULL;;;;;;;;;;
2;AccesCalculsInterets;1;CalculsInterets;Permet de beneficier du calcul d'intérêts dans Néo (paramétrage, CRUD et tuiles dashboard associées);;;;;;;;;;
3;AncrageOutlook;1;ComplementOutlookWPF;Bloque en place les fenetres du complement outlook WPF, en cachant les option de déplacement;;;;;;;;;;
4;ArrondiTempsPasses;1;TempsPasses;Permet d'avoir l'arrondi des temps dans la fiche personne et le parametre avancé;;;;;;;;;;
5;CalculInteretAnneesBissextiles;0;CalculsInterets;Le calcul d'interêts comptabilise bien le jour supplementaire des années bissextiles;;;;;;;;;;
6;CalculInteretAvantOperation;1;CalculsInterets;Le calcul d'interêts prend en compte comme date de fin du calcul la veille de la date en cours;;;;;;;;;;
7;CalculInteretCapitalisationAnnuelle;1;CalculsInterets;Le calcul d'interêts offre l'option de calcul de capitalisation annuelle;;;;;;;;;;
8;CalculInteretDifference;0;CalculsInterets;Le calcul d'interêts offre l'option de calcul par difference;;;;;;;;;;
9;Categorie;1;Documents;Permet l'utilisation des catégories pour le tri automatique des documents;;;;;;;;;;
10;ChronoDossier;1;NULL;Permet d'afficher un chrono dans le dossier;;;;;;;;;;
11;CommunicationStructuree;0;FacturesBE;Permet l'utilisation de la communication structurée pour les factures BE;;;;;;;;;;
12;ComplementInformation;1;NULL;"Permet l'ajout d'un champ ""complement d'information"" dans les parties d'un dossier.";;;;;;;;;;
13;CompteAuxiliaireErrorText;0;NULL;Gere l'apparition d'un message si le compte auxiliaire client renseigné existe déjà en base;;;;;;;;;;
14;DecisionAttaquee;1;NULL;Permet de préciser quelles decisions sont attaquées dans les dossiers, dans les infos de la juridiction;;;;;;;;;;
15;DeepSearch;0;NULL;Permet d'activer la recherche avancée dans LéA;;;;;;;;;;
16;DeleteOnlylastFacture;0;NULL;Limite la supression de facture à la derniere créée;;;;;;;;;;
17;DetectionDoublonMailOutlook;1;ComplementOutlookWPF;Permet au complement outlook de signaler si un mail similaire a déjà été rattaché au dossier;;;;;;;;;;
18;DPA;0;DPA;Permet l'utilisation de la DPA, équivalent d'E-barreau Belge;;;;;;;;;;
19;Ebarreau;1;NULL;Permet de voir le menu E-barreau dans le menu de gauche;;;;;;;;;;
20;Ecostaff;1;NULL;Permet d'afficher l'accès à ecostaff dans le menu de gauche;;;;;;;;;;
21;EffacementRGPD;1;ModuleRGPD;Permet l'accès au module d'effacement RGPD des personnes et dossiers;;;;;;;;;;
22;EtatPrefacturationInteractif;0;NULL;Permet de pouvoir faire un état de préfa interactif ;;;;;;;;;;
23;FiltreFavori;1;NULL;Permet d'enregistrer des filtres pour faciliter les prochaines recherches;;;;;;;;;;
24;FraisFournisseur;1;NULL;Permet l'utilisation des frais fournisseurs;;;;;;;;;;
25;IdentificationTemps;0;NULL;Permet d'avoir les valeurs perdu et traité dans l'état des TP lors de la factu et de pouvoir scinder un temps dans la factu;;;;;;;;;;
26;Juridique;1;NULL;Débloque l'accés aux onglets des matières juridiques (IFU, RCM, Suivi des sociétés...) (et aux dossiers gris maybe);;;;;;;;;;
27;LectureCarteIdentite;0;PersonnesBE;Permet d'acceder à la fonctionnalité de lecture de carte d'identité en place en Belgique;;;;;;;;;;
28;LiaisonFraisTempsPassesAir;0;TempsPasses;Active la liaison des codes d'activités pour les Temps Passes et les frais (habituellement réservé à Néo) NULL;;;;;;;;;;
29;LibelleMatiereAvecTypeDossier;1;NULL;Permet l'affichage du type de dossier associé à la matière dans les listes de filtres par matière (particulièrement utile en juridique);;;;;;;;;;
30;ListeNewLook;1;GrillesNeo;Permet à l'utilisateur de pouvoir redimensionner et déplacer les colonnes des grilles dans Néo;;;;;;;;;;
31;LogicielComptaCasper;0;NULL;Ajoute le logiciel Casper (aka Secib Compta) à la liste des logiciels de comptabilité dans la liste déroulante du paramétrage de comptabilité;;;;;;;;;;
32;Meetlaw;1;NULL;Donne accès à Meetlaw dans le menu de gauche;;;;;;;;;;
33;MicroServiceDashboard;0;MicroServiceDashboard;Permet l'affichage du nouveau dashboard µService;;;;;;;;;;
34;MicroServiceDashboardPilote;1;MicroServiceDashboard;Permet l'accès à la fenêtre de retour utilisateur en plus de l'affichage du dashboard. Un switch vers l'ancien dash est également disponible si l'option MicroServiceDashboard est à False en DB;;;;;;;;;;
35;MobileTachePrioritaire;1;Mobile;Permet d'activer la notion de taches prio dans Mobile (n'a surement plus lieu d'être);;;;;;;;;;
36;ModePaiement;1;NULL;Permet de sélectionner le mode de paiement lors de la saisie de règlement;;;;;;;;;;
37;MultiComptabilite;1;NULL;Permet de gérer plusieurs comptabilité au sein d'un cabinet. Pratique répandue dans les SELARL ou cabinet Belge.;;;;;;;;;;
38;MultiDevise;0;NULL;Permet d'avoir la multi devise dans neo (parametre, facture,reglement, client..);;;;;;;;;;
39;NumerotationManuelleDossier;1;NULL;NULL;;;;;;;;;;
40;NumerotationSite;1;NULL;NULL;;;;;;;;;;
41;OutlookClassementResponseMail;1;ComplementOutlookWPF;Permet au complement de proposer un dossier de classement lors de la réponse à un mail déjà rangé ;;;;;;;;;;
42;ParametrageEmail;1;NULL;NULL;;;;;;;;;;
43;ParametreRelance;1;NULL;Permet de rattacher les doc de factu dans les mails ou impression de relance (paramètres avancés);;;;;;;;;;
44;RattachementAvanceOutlook;1;ComplementOutlookWPF;Permet dans le complément Outlook de rattacher plusieurs emails simultanément;;;;;;;;;;
45;RattachementIntelligentOutlook;1;ComplementOutlookWPF;Permet au complement de proposer un dossier de classement des mails reçus;;;;;;;;;;
46;Repartition;1;NULL;Permet d'afficher la gestion de la répartition de l'encaissement dans les dossiers;;;;;;;;;;
47;SecibVoIP;1;NULL;Permets d'accéder au service de suivi des appels (création de tickets avec temps passés);;;;;;;;;;
48;Strada;0;ComptaBE;Permet l'utilisation des Stradalex, utilisé pour la comptabilité Belge;;;;;;;;;;
49;SuggestionParapheur;1;NULL;NULL;;;;;;;;;;
50;SynchroPersonneOutlook;0;NULL;Synchronisation des personnes vers Outlook;;;;;;;;;;
51;TacheMultiIntervenant;1;Taches;Permet l'envoi d'une tache à plusieurs intervenants;;;;;;;;;;
52;TempsPasseParapheur;1;TempsPasses;Permet l'affichage d'un compteur dans la prévisu des docs au parapheur, pouvant génerer un temps passé si supérieur au temps paramétré dans la compte de l'user;;;;;;;;;;
53;TempsPassesRecalcul;1;TempsPasses;Active la présence du bouton de recalcul des temps passés;;;;;;;;;;
54;TypeFacturier;0;NULL;"Permet d'afficher le champs ""Type de Facturier"" dans le paramétrage de ceux-ci. Remonte les types Vente et note de crédit/Avoirs";;;;;;;;;;
55;VerificationLicenceAR24;0;NULL;Permet de vérifier si une licence est active pour le cabinet sur AR24;;;;;;;;;;
56;VerificationLicenceYousign;0;NULL;Permet de vérifier si une licence est active pour le cabinet sur la eSignature;;;;;;;;;;
57;EquipeAgenda;1;NULL;NULL;;;;;;;;;;
58;Budget;0;NULL;Permet de créer des budgets;;;;;;;;;;
59;PersonnalisationOnglets;1;MicroServiceDashboard;Permet l'accès à la gestion des onglets (creation, renommage et suppression des onglets);;;;;;;;;;
60;ParametrageEtMultiInstanceWidget;1;MicroServiceDashboard;Permet l'ajout de plusieurs instances d'une même tuile et leur paramétrage (visibilité de la section de paramétrage dans le volet d'information et paramétrage;;;;;;;;;;
61;DossierConfidentialiteHorsResponsable;1;NULL;Permet d'activer un droit qui permet de rendre un dossier confidentiel si on est pas le responsable de celui-ci;;;;;;;;;;
62;ImpayeRelanceOngletClient;1;NULL;Permet de voir l'onglet client dans les impayes;;;;;;;;;;
63;AffichageAvanceTauxHoraires;1;NULL;Permet d'afficher la colonne taux engagé dans les TP et les colonnes taux engagé, taux facturé dans la facturation;;;;;;;;;;
64;Fragments;1;MicroServiceFragments;Permet l'accès au module complément office Fragments;;;;;;;;;;
65;FacturationMultiDossierDepuisDossier;0;NULL;Permet de facturer plusieurs dossiers à partir d un dossier;;;;;;;;;;
66;ProformaComptabilise;0;SecibOnline;Si actif (valeur 1), alors les proforma remontent dans le calcul du solde, si désactivé (valeur 0) alors le solde du dossier dans le facturé ne les comptabilise pas.;;;;;;;;;;
