N°	Client	Type	ERP	Effectif	Avocats_Associes	Avocats_Collaborateurs	Secretaires	Assistants_Juridiques	Juristes	Informatique	RH	Communication	Documentation	Comptabilite	Departement
262	DUBOIS & ASSOCIES	Prospect	PolyOffice	1	1	0	0	0	0	0	0	0	0	0	84
263	MARTIN LEBLANC Avocats (75001)	Client	AIR	15	4	3	4	2	0	0	0	1	1	0	75
264	SCP BERNARD DURAND	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	75
265	SELARL PHILIPPE MOREAU	Client	ADAPPS	2	1	1	0	0	0	0	0	0	0	0	87
266	CABINET ROUSSEAU SIMON & ASSOCIES	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	92
267	LAURENT AVOCATS	Prospect	Jarvis	2	1	1	0	0	0	0	0	0	0	0	92
268	LEFEBVRE	Client	NEO	6	2	2	1	0	0	0	1	0	0	0	75
269	GARCIA & ASSOCIES	Client	AIR	2	1	0	1	0	0	0	0	0	0	0	75
270	SCP PETIT ROBERT (75007)	Prospect	AvocatOnline	25	5	5	5	7	1	0	1	0	1	0	86
271	RICHARD Jean-Pierre	Client	AIR	4	2	2	0	0	0	0	0	0	0	0	75
272	DMLA	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	37
273	SELARL ROUX-FOURNIER & ASSOCIES	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	87
274	A.B.C. (SELARL) VINCENT Marie	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	59
275	HENRY	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	75
276	THOMAS et Associés	Prospect	Jarvis	2	1	1	0	0	0	0	0	0	0	0	67
277	MOREAU NICOLAS & ASSOCIES	Client	AIR	7	2	2	2	1	0	0	0	0	0	0	69
278	LE GALL	Client	AIR	3	2	1	0	0	0	0	0	0	0	0	75
279	MICHEL ASSOCIES	Client	ADAPPS	16	4	3	5	2	1	0	0	0	1	0	75
280	CLEMENT	Client	NEO	10	2	2	4	2	0	0	0	0	0	0	75
281	JUSTICE AVOCATS (ex LEGAL ASSOCIES)	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	75
282	BOYER	Client	AIR	2	1	0	1	0	0	0	0	0	0	0	75
283	PARIS Sylvie	Prospect	Clématis	10	2	2	4	2	0	0	0	0	0	0	31
284	MERCIER CATHERINE	Client	NEO	9	2	2	4	1	0	0	0	0	0	0	35
285	DUPONT, FONTAINE, CHEVALIER, LAMBERT	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	75
286	CABINET LYON	Prospect	Clématis	21	4	4	4	7	1	1	0	0	0	0	44
287	GIRARD & ASSOCIES (75008) (ANCIEN DOSSIER)	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
288	NOEL	Prospect	PolyOffice	21	4	4	7	4	1	0	0	0	1	0	25
289	GARNIER EXPERT (EX CONSEILS GARNIER)	Prospect	Kléos	2	1	1	0	0	0	0	0	0	0	0	57
290	COLIN	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	74
